timestamp,action,symbol,side,amount,price,realized_pnl,reason,balance_after
2025-08-26T18:38:43.326213,close,AVAX/USDT,buy,2.407685,23.687,-0.41354638,opposite_signal,229.13498443
2025-08-26T18:38:44.278816,open,AVAX/USDT,sell,2.418362,23.687,,open,171.79395999
2025-08-26T18:38:45.180056,close,AVAX/USDT,sell,2.418362,23.93,-0.64523954,opposite_signal,229.66536265
2025-08-26T18:38:46.104896,open,AVAX/USDT,buy,2.399346,23.93,,open,172.19159652
2025-08-26T18:38:47.284110,close,AVAX/USDT,buy,2.399346,23.767,-0.4483142,opposite_signal,229.21685291
2025-08-26T18:38:48.327128,open,AVAX/USDT,sell,2.411083,23.767,,open,171.85533903
2025-08-26T18:38:49.363520,close,AVAX/USDT,sell,2.411083,23.887,-0.34677883,opposite_signal,229.44887866
2025-08-26T18:38:50.323227,open,AVAX/USDT,buy,2.401399,23.887,,open,172.02929852
2025-08-26T18:39:02.684328,open,TRX/USDT,sell,127.656054,0.3369,,open,128.97896661
2025-08-26T18:39:03.631760,close,TRX/USDT,sell,127.656054,0.3359,0.08471256,opposite_signal,171.85863515
2025-08-26T18:39:04.488192,open,TRX/USDT,buy,127.909076,0.3359,,open,128.85101186
2025-08-26T18:39:05.548234,close,TRX/USDT,buy,31.977269,0.3385,0.07235816,partial_0.5R,139.67531742
2025-08-26T18:39:06.568516,close,TRX/USDT,buy,95.931807,0.3375,0.12119065,opposite_signal,172.05230228
2025-08-26T18:39:07.550050,open,TRX/USDT,sell,127.44615,0.3375,,open,128.99621358
2025-08-26T18:39:08.635179,close,TRX/USDT,sell,127.44615,0.3345,0.33951654,TP,171.62695075
2025-08-26T18:39:09.688418,open,TRX/USDT,sell,128.50176,0.3339,,open,128.67730635
2025-08-26T18:39:10.760703,close,TRX/USDT,sell,128.50176,0.3346,-0.13290295,opposite_signal,171.67399525
2025-08-26T18:39:11.724416,open,TRX/USDT,buy,128.268078,0.3346,,open,128.71257785
2025-08-26T18:39:12.868521,close,TRX/USDT,buy,128.268078,0.3262,-1.11983163,SL,170.55362489
2025-08-26T18:39:13.901527,open,TRX/USDT,sell,131.356766,0.3246,,open,127.87258024
2025-08-26T18:39:15.022781,close,TRX/USDT,sell,131.356766,0.3276,-0.43690574,opposite_signal,170.90505678
2025-08-26T18:39:17.253141,open,TRX/USDT,buy,130.422052,0.3276,,open,128.13606628
2025-08-26T18:39:18.268364,close,TRX/USDT,buy,130.422052,0.3273,-0.08183332,opposite_signal,170.8232039
2025-08-26T18:39:19.301168,open,TRX/USDT,sell,130.479074,0.3273,,open,128.07469718
2025-08-26T18:39:20.495531,close,TRX/USDT,sell,32.619768,0.3257,0.04154127,partial_0.5R,138.69895562
2025-08-26T18:39:21.383141,close,TRX/USDT,sell,97.859306,0.3273,-0.03202935,opposite_signal,170.72830647
2025-08-26T18:39:22.577791,open,TRX/USDT,buy,130.406589,0.3273,,open,128.00354782
2025-08-26T18:39:23.486645,close,TRX/USDT,buy,130.406589,0.3298,0.28317139,TP,171.01164087
2025-08-26T18:39:24.574644,open,TRX/USDT,sell,130.185476,0.3284,,open,128.21597764
2025-08-26T18:39:25.422325,close,TRX/USDT,sell,130.185476,0.3268,0.165648,TP,170.7605912
2025-08-26T18:39:26.409087,open,TRX/USDT,buy,129.79674,0.3289,,open,128.02775326
2025-08-26T18:39:27.342932,close,TRX/USDT,buy,129.79674,0.3278,-0.18539517,opposite_signal,170.57512464
2025-08-26T18:39:29.544659,open,TRX/USDT,sell,130.090852,0.3278,,open,127.88869957
2025-08-26T18:39:30.692088,close,TRX/USDT,sell,130.090852,0.3255,0.25671478,TP,170.2332719
2025-08-26T18:39:31.622539,open,TRX/USDT,buy,130.546988,0.326,,open,127.63239549
2025-08-26T18:39:32.656684,close,TRX/USDT,buy,32.636747,0.3271,0.02524289,partial_0.5R,138.30787543
2025-08-26T18:39:33.647290,close,TRX/USDT,buy,24.47756,0.3283,0.04829055,partial_1.0R,146.34385838
2025-08-26T18:39:34.688380,close,TRX/USDT,buy,73.432681,0.3269,0.04211731,opposite_signal,170.3490018
2025-08-26T18:39:35.545139,open,TRX/USDT,sell,130.27608,0.3269,,open,127.719164
2025-08-26T18:39:36.479894,close,TRX/USDT,sell,32.56902,0.3256,0.03171408,partial_0.5R,138.32363691
2025-08-26T18:39:37.400007,close,TRX/USDT,sell,97.70706,0.3241,0.24177612,TP,169.99049506
2025-08-26T18:39:38.392740,open,TRX/USDT,buy,130.721697,0.3251,,open,127.45037374
2025-08-26T18:39:39.306939,close,TRX/USDT,buy,32.680424,0.327,0.05143735,partial_0.5R,138.13687239
2025-08-26T18:39:40.453774,close,TRX/USDT,buy,98.041273,0.3252,-0.02207399,opposite_signal,170.01989437
2025-08-26T18:39:41.320254,open,TRX/USDT,sell,130.704101,0.3252,,open,127.47241575
2025-08-26T18:39:42.258489,close,TRX/USDT,sell,130.704101,0.3275,-0.34327472,opposite_signal,170.27800882
2025-08-26T18:39:43.169618,open,TRX/USDT,buy,129.983213,0.3275,,open,127.66593706
2025-08-26T18:39:44.274232,close,TRX/USDT,buy,129.983213,0.3254,-0.31539777,opposite_signal,169.96247457
2025-08-26T18:39:45.112306,open,TRX/USDT,sell,130.579652,0.3254,,open,127.42936519
2025-08-26T18:39:46.928123,close,TRX/USDT,sell,130.579652,0.3265,-0.18620005,opposite_signal,170.06362157
2025-08-26T18:39:47.771379,open,TRX/USDT,buy,130.217168,0.3265,,open,127.50520032
2025-08-26T18:39:48.739341,close,TRX/USDT,buy,130.217168,0.3253,-0.19869838,opposite_signal,169.86484507
2025-08-26T18:39:49.534192,open,TRX/USDT,sell,130.544763,0.3253,,open,127.35616745
2025-08-26T18:39:50.423920,close,TRX/USDT,sell,130.544763,0.3234,0.20569286,opposite_signal,169.5743438
